"x","GISAID_clade","count","V"
2020-01-01,"G",20,"D614G"
2020-01-01,"L",3,"A"
2020-01-01,"S",6,"B"
2020-02-01,"G",21,"D614G"
2020-02-01,"L",6,"A"
2020-02-01,"S",14,"B"
2020-03-01,"G",1295,"D614G"
2020-03-01,"GK",1,"Delta"
2020-03-01,"GRY",1,"Alpha"
2020-03-01,"L",130,"A"
2020-03-01,"S",446,"B"
2020-04-01,"G",1111,"D614G"
2020-04-01,"GK",2,"Delta"
2020-04-01,"GRY",7,"Alpha"
2020-04-01,"L",46,"A"
2020-04-01,"S",258,"B"
2020-05-01,"G",646,"D614G"
2020-05-01,"GK",11,"Delta"
2020-05-01,"L",5,"A"
2020-05-01,"S",88,"B"
2020-06-01,"G",521,"D614G"
2020-06-01,"GK",4,"Delta"
2020-06-01,"L",5,"A"
2020-06-01,"S",66,"B"
2020-07-01,"G",1786,"D614G"
2020-07-01,"GK",42,"Delta"
2020-07-01,"GRY",4,"Alpha"
2020-07-01,"L",87,"A"
2020-07-01,"S",49,"B"
2020-08-01,"G",1960,"D614G"
2020-08-01,"GK",75,"Delta"
2020-08-01,"L",7,"A"
2020-08-01,"S",16,"B"
2020-09-01,"G",2495,"D614G"
2020-09-01,"GK",80,"Delta"
2020-09-01,"GRY",18,"Alpha"
2020-09-01,"L",2,"A"
2020-09-01,"S",22,"B"
2020-10-01,"G",3751,"D614G"
2020-10-01,"GK",62,"Delta"
2020-10-01,"GRY",12,"Alpha"
2020-10-01,"L",3,"A"
2020-10-01,"S",6,"B"
2020-11-01,"G",4678,"D614G"
2020-11-01,"GK",18,"Delta"
2020-11-01,"GRY",74,"Alpha"
2020-11-01,"S",16,"B"
2020-12-01,"G",9112,"D614G"
2020-12-01,"GK",28,"Delta"
2020-12-01,"GRY",407,"Alpha"
2020-12-01,"L",2,"A"
2020-12-01,"S",107,"B"
2021-01-01,"G",8270,"D614G"
2021-01-01,"GK",242,"Delta"
2021-01-01,"GRY",4046,"Alpha"
2021-01-01,"L",29,"A"
2021-01-01,"S",310,"B"
2021-02-01,"G",6314,"D614G"
2021-02-01,"GK",357,"Delta"
2021-02-01,"GRY",18332,"Alpha"
2021-02-01,"L",17,"A"
2021-02-01,"S",309,"B"
2021-03-01,"G",10928,"D614G"
2021-03-01,"GK",1331,"Delta"
2021-03-01,"GRY",119744,"Alpha"
2021-03-01,"L",36,"A"
2021-03-01,"S",665,"B"
2021-04-01,"G",9465,"D614G"
2021-04-01,"GK",7850,"Delta"
2021-04-01,"GRY",218032,"Alpha"
2021-04-01,"L",12,"A"
2021-04-01,"S",588,"B"
2021-05-01,"G",5381,"D614G"
2021-05-01,"GK",33818,"Delta"
2021-05-01,"GRY",150553,"Alpha"
2021-05-01,"L",12,"A"
2021-05-01,"S",407,"B"
2021-06-01,"G",6896,"D614G"
2021-06-01,"GK",113373,"Delta"
2021-06-01,"GRY",42665,"Alpha"
2021-06-01,"L",15,"A"
2021-06-01,"S",253,"B"
2021-07-01,"G",7905,"D614G"
2021-07-01,"GK",352775,"Delta"
2021-07-01,"GRY",5442,"Alpha"
2021-07-01,"L",13,"A"
2021-07-01,"S",320,"B"
2021-08-01,"G",10114,"D614G"
2021-08-01,"GK",603498,"Delta"
2021-08-01,"GRY",871,"Alpha"
2021-08-01,"L",47,"A"
2021-08-01,"S",59,"B"
2021-09-01,"G",1692,"D614G"
2021-09-01,"GK",500454,"Delta"
2021-09-01,"GRY",174,"Alpha"
2021-09-01,"L",6,"A"
2021-09-01,"S",9,"B"
2021-10-01,"G",1507,"D614G"
2021-10-01,"GK",475874,"Delta"
2021-10-01,"GRY",13,"Alpha"
2021-10-01,"L",17,"A"
2021-10-01,"S",5,"B"
